name_video,views,url,likes,comments
HONDASHI® - Segredo milenar e sabor autêntico,37 views,https://www.youtube.com/watch?v=90gNeI6Jg9k,4,1
Tortilla de frango | VONO®️,74 views,https://www.youtube.com/watch?v=zzH4beh061w,7,0
AJI-NO-MOTO® e One Piece juntos!,1.8K views,https://www.youtube.com/watch?v=t7z10zhQgeA,173,32
Azeite TERRANO® Saúde e Sabor para o seu dia,853K views,https://www.youtube.com/watch?v=Py6LFzwBBt8,98,0
Receita Frango ao molho de queijo e espinafre| VONO®,290 views,https://www.youtube.com/watch?v=HSJc3hwGnfU,10,0
Conheça Nestlé Professional,2.7K views,https://www.youtube.com/watch?v=yd3VSZmvbkg,47,6
OVO BOMBOM: PRA FAZER E VENDER!,1.8K views,https://www.youtube.com/watch?v=VicHSAy2g1c,147,4
OVO CROCANTE: FAÇA E VENDA COM NESTLÉ PROFESSIONAL!,1.4K views,https://www.youtube.com/watch?v=cXV-S5QIkCE,109,2
AULA DE TEMPERAGEM COM NESTLÉ PROFESSIONAL!,98K views,https://www.youtube.com/watch?v=4lXxQ0HrALk,3.7K,131
Novidades Dos Nossos Canais Digitais,256 views,https://www.youtube.com/watch?v=q83lV4TWhZo,20,1
Aulão - Comida Afetiva e Moderna,2.3K views,https://www.youtube.com/watch?v=UcsoDGgwf9M,116,8
Aulão Molhos NBA,503 views,https://www.youtube.com/watch?v=XUAQIqXOI50,19,1
Molho Branco Bechamel Knorr | Demonstração Unilever Food Solutions,654 views,https://www.youtube.com/watch?v=YR1pqnsHeac,15,0
Massa Especial com Base de Tomate | Receitas Campeãs Unilever Food Solutions,189 views,https://www.youtube.com/watch?v=8U-Pu6zLOu4,7,N/A
Torta de Batata gratinada | Receitas Campeãs Unilever Food Solutions,215 views,https://www.youtube.com/watch?v=9JCbQQHpr7k,9,N/A
Região Centro-Oeste: Capacitação e Empoderamento Feminino,308 views,https://www.youtube.com/watch?v=BXLtGRz9ocY,13,0
Região Nordeste: Acelerando os Sonhos de Nanoempreendedoras,112 views,https://www.youtube.com/watch?v=XNARYW7h8A0,8,0
Região Norte: Fertilização da Terra para Prosperar Comunidades,173 views,https://www.youtube.com/watch?v=DS5Z8_DFa8s,7,0
Região Sudeste: Celebração da Diversidade por meio do Empreendedorismo Gastronômico,128 views,https://www.youtube.com/watch?v=rHP58L1YYMs,9,0
Região Sul: Inovação e Nutrição no Aleitamento de Bebês,102 views,https://www.youtube.com/watch?v=EXO_8xXJNFA,8,1
