name_video,views,url,likes,comments
Trinta e pra toda vida | Icatu 30 anos,4.6M views,https://www.youtube.com/watch?v=S16hSVkyMQ8,Like,N/A
"Quem ama, conhece | Icatu",3.3M views,https://www.youtube.com/watch?v=g7aj4MqoDZ8,Like,2
Fim de ano: o futuro não demora | Icatu,2.3M views,https://www.youtube.com/watch?v=xVd5ERcCr7Y,130,3
Feliz Dia das Mães | Icatu,1.2M views,https://www.youtube.com/watch?v=PuiEh8koux4,78,4
"Mães, inspiração pra toda vida",704K views,https://www.youtube.com/watch?v=nSRa0wq8uL4,Like,0
Ciclic - Clique. Aplique. Conquiste.,5.4M views,https://www.youtube.com/watch?v=9hh_HxfUzWE,48,1
A Ciclic cuida de quem dá a vida pelo time,356K views,https://www.youtube.com/watch?v=wF4baFnbbfg,28,4
Ciclic - Seguro Auto - Tudo o que você precisa até 50% mais barato,344K views,https://www.youtube.com/watch?v=M0Hz-xJJy_U,3,0
Ciclic - Já pensou em guardar seu dinheiro onde ele rende mais?,320K views,https://www.youtube.com/watch?v=pjb6URyys5g,72,25
Veja como contratar o #SaúdePet Ciclic.,92K views,https://www.youtube.com/watch?v=WiZe2Mbwu3s,1,0
Seguro de vida vale a pena? | Dando a letra com Thiaguinho,3.2K views,https://www.youtube.com/watch?v=j_v7J7jZMbs,127,13
Azos Explica | Quais são os tipos de seguro que a Azos oferece?,1.8K views,https://www.youtube.com/watch?v=BEBYOolvUQo,29,0
A importância do corretor de seguro de vida | Dando a letra com Thiaguinho,1.6K views,https://www.youtube.com/watch?v=Db0I7rFD0Zk,81,7
Azos Explica | O seguro de vida da Azos é confiável?,1.4K views,https://www.youtube.com/watch?v=xPNNbKh0N2Q,54,1
Vidas Protegidas | A história da beneficiária Maria,1.4K views,https://www.youtube.com/watch?v=YsYWCGL3LGc,114,8
Seguro MAPFRE Auto com coberturas exclusivas e ampla rede de serviços.,14M views,https://www.youtube.com/watch?v=E6cesQUaxqk,5,3
O que é o MAPFRE Explica?,6.3M views,https://www.youtube.com/watch?v=rIrpe92m2ak,25,1
GUINCHOS NATALINOS PERSONALIZADOS MAPFRE,4.8M views,https://www.youtube.com/watch?v=e3mIbwNFgSE,6,0
Aí eu vi MAPFRE - Concessionária,4M views,https://www.youtube.com/watch?v=75SBbiyWoWI,87,28
Seguro Vida com cobertura para Telemedicina,2.6M views,https://www.youtube.com/watch?v=n-b7U1dlejA,201,3
Bilhete Premiável CAPEMISA,181K views,https://www.youtube.com/watch?v=WLOszEIi8Og,40,5
CAPEMISA SEGURADORA | ESPECIALISTA EM VOCÊ E SUA FAMÍLIA,176K views,https://www.youtube.com/watch?v=kddI9N9wQS0,17,0
Nova Central do Corretor CAPEMISA.,156K views,https://www.youtube.com/watch?v=bFmRSuw-d2c,21,2
Pode entrar. A casa também é sua!,131K views,https://www.youtube.com/watch?v=OBdAJ3s4rHU,52,14
CAPEMISA SEGURADORA | ESPECIALISTA EM PESSOAS E EMPRESAS,123K views,https://www.youtube.com/watch?v=F57DBkal0vc,15,0
